,COMPANY,BUSINESS_IN_FORCE_NEW_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_NEW_SUM_INSURED,BUSINESS_IN_FORCE_NEW_PREMIUMS,BUSINESS_IN_FORCE_TOTAL_NUMBER_OF_POLICIES,BUSINESS_IN_FORCE_TOTAL_SUM_INSURED,BUSINESS_IN_FORCE_TOTAL_PREMIUMS,YEARS,GROSS_DIRECT_PREMIUM,INWARD_REINSURANCE,OUTWARD_REINSURANCE,NET_PREMIUM_WRITTEN,UPR_B/F,UNEXPIRED_RISK_RESERVE_(B/F),UPR_C/F,UNEXPIRED_RISK_RESERVE_(B/F).1,NET_EARNED_PREMIUM_INCOME,INCURRED_CLAIMS,NET_COMMISIONS,EXPENSE_OF_MANAGEMENT,UNDERWRITING_PROFIT/(LOSS),INVESTMENT_INCOME,PROFIT_TRANSFERRED_TO_P&L,NET_PAID_CLAIMS_AVIATION,NET_PAID_CLAIMS_ENGINEERING,NET_PAID_CLAIMS_FIRE_DOMESTIC,NET_PAID_CLAIMS_FIRE_INDUSTRIAL,NET_PAID_CLAIMS_LIABILITY,NET_PAID_CLAIMS_MARINE,NET_PAID_CLAIMS_MOTOR_PRIVATE,NET_PAID_CLAIMS_MOTOR_COMMERCIAL,NET_PAID_CLAIMS_MOTOR_COMMERCIAL_PSV,NET_PAID_CLAIMS_PERSONAL_ACCIDENT,NET_PAID_CLAIMS_THEFT,NET_PAID_CLAIMS_WORKMENS'_COMPENSATION,NET_PAID_CLAIMS_MEDICAL,NET_PAID_CLAIMS_MISCELLANEOUS,NET_PAID_CLAIMS_TOTAL,SHARE_CAPITAL,SHARE_PREMIUM,REVALUATION_RESERVES,STATUTORY_RESERVES,RETAINED_EARNINGS,OTHER_RESERVES,TOTAL_EQUITY,UNDERWRITING_PROVISIONS,ACTUARIAL_CONTRACT_LIABILITIES,LONGTERM_LIABILITIES,CURRENT_LIABILITIES,TOTAL_EQUITY_AND_LIABILITIES,LAND_AND_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,GOVERNMENT_SECURITIES,OTHER_SECURITIES,INVESTMENT_IN_RELATED_COMPANIES,CORPORATE_BONDS,COMMERCIAL_PAPERS,DEBENTURES,ORDINARY_SHARES_QUOTED,ORDINARY_SHARES_UNQUOTED,PREFERENCE_SHARES_QUOTED,PREFERENCE_SHARES_UNQUOTED,LOANS_SECURED_&_UNSECURED,MORTGAGES,TERM_DEPOSITS,CASH_AND_CASH_BALANCES,OUTSTANDING_PREMIUMS,OTHER_RECEIVABLES,OTHER_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,NET_EARNED_PREMIUM_AVIATION,NET_EARNED_PREMIUM_ENGINEERING,NET_EARNED_PREMIUM_FIRE_DOMESTIC,NET_EARNED_PREMIUM_FIRE_INDUSTRIAL,NET_EARNED_PREMIUM_LIABILITY,NET_EARNED_PREMIUM_MARINE,NET_EARNED_PREMIUM_MOTOR_PRIVATE,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL,NET_EARNED_PREMIUM_MOTOR_COMMERCIAL_PSV,NET_EARNED_PREMIUM_PERSONAL_ACCIDENT,NET_EARNED_PREMIUM_THEFT,NET_EARNED_PREMIUM_WORKMENS'_COMPENSATION,NET_EARNED_PREMIUM_MEDICAL,NET_EARNED_PREMIUM_MISCELLANEOUS,NET_EARNED_PREMIUM_TOTAL,INCURRED_CLAIMS_AVIATION,INCURRED_CLAIMS_ENGINEERING,INCURRED_CLAIMS_FIRE_DOMESTIC,INCURRED_CLAIMS_FIRE_INDUSTRIAL,INCURRED_CLAIMS_LIABILITY,INCURRED_CLAIMS_MARINE,INCURRED_CLAIMS_MOTOR_PRIVATE,INCURRED_CLAIMS_MOTOR_COMMERCIAL,INCURRED_CLAIMS_MOTOR_COMMERCIAL_PSV,INCURRED_CLAIMS_PERSONAL_ACCIDENT,INCURRED_CLAIMS_THEFT,INCURRED_CLAIMS_WORKMENS'_COMPENSATION,INCURRED_CLAIMS_MEDICAL,INCURRED_CLAIMS_MISCELLANEOUS,INCURRED_CLAIMS_TOTAL,BUSINESS_IN_FORCE_NEW_SUMS_INSURED,BUSINESS_IN_FORCE_TOTAL_SUMS_INSURED,UNNAMED:_1
34,UAP INSURANCE COMPANY,,,,,,,2013,7470328,215703,1544230,6141801,2032156,0,2429421,0,5744536,3478606,488107,1096178,681645,935858,1617503,,,,,,,,,,,,,,,,600000,0,3049765,0.0,3178379,420000,7248144,4126213,0.0,0,1194641,12568998,2700,2945000,100190,1260164,0,0,137164,0,0.0,3894316,53760,0.0,0.0,1321312,195169,130781,139576,1496521,420441,274740,197165,12568998,0,43223,87583,220187,70718,72766,987765,1056129,0,88100,147107,242854,2712594,15512,5744538,0,32196,8845,77062,5915,18001,691811,473823,0,12432,137929,62843,1950348,7402,3478607,,,
35,XPLICO INSURANCE COMPANY LTD,,,,,,,2013,1004726,0,71964,932762,149094,0,300538,0,781318,174030,83874,360723,162690,28731,191421,,,,,,,,,,,,,,,,682500,0,14620,0.0,71835,0,768955,457359,0.0,0,104106,1330419,72250,0,108468,63000,103000,300262,0,0,0.0,0,0,0.0,0.0,11267,0,169390,150217,217550,0,130109,4906,1330419,-1583,517,558,1259,1994,12435,462327,207493,0,2222,5203,32480,0,56413,781318,0,-95,-402,8,-119,25,88378,78980,0,2992,1172,3875,0,-785,174029,,,
36,AAR INSURANCE KENYA LTD,144,18179700000,889122475.0,10227,3.41E+11,3566458494.0,2014,3566321,137,965840,2600619,1279110,0,1563220,0,2316509,1659095,165287,502774,-10647,140881,130234,,,,,,,,,,,,,,,,400000,600523,0,0.0,-505792,0,494730,1856618,0.0,0,377578,2728926,0,0,28666,332491,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1256771,84551,891158,112413,0,22875,2728926,0,76,637,0,2479,-627,0,0,0,14983,981,9658,2290604,-2281,2316509,0,0,131,462,760,54,0,0,0,3677,72,552,1653313,75,1659095,,,
37,AFRICAN MERCHANT ASSURANCE COMPANY LTD,46339,76557702919,647079897.0,185534,3.11E+11,1845293994.0,2014,2554496,5087,538946,2020637,479683,0,564704,0,1935616,1047126,108669,799815,-19993,162647,142654,,,,,,,,,,,,,,,,550000,0,0,0.0,421637,9863,981500,1447987,0.0,10798,220865,2661151,49797,497500,98890,212000,0,0,27309,0,0.0,15076,0,0.0,0.0,14757,0,1011721,90638,524239,8428,106010,4786,2661151,0,-967,-159,71713,4729,1455,610007,562373,517961,58428,10281,47671,0,52125,1935616,0,-378,-3051,12405,2261,1661,365830,438109,219356,891,3915,13449,0,-7322,1047126,,,
38,AIG INSURANCE COMPANY LTD,106024,13371137046,2569750883.0,141954,16107615674,4027761026.0,2014,3905090,122569,1552705,2474954,716330,0,809509,0,2381775,1310136,91994,808878,170766,0,170766,,,,,,,,,,,,,,,,450000,0,-50861,0.0,1248865,200000,1848004,1569446,0.0,0,637678,4055129,0,600000,76657,2163262,0,0,0,0,0.0,10641,0,0.0,0.0,51396,0,347379,333668,364427,0,107699,0,4055129,-3,14567,63794,-154368,593110,357462,345539,531945,0,353339,196021,83100,0,-2732,2381775,120,29116,2786,24049,15761,2162,478424,532246,0,181623,14894,28956,0,-1,1310136,,,
39,APA INSURANCE LTD,48745,7.57E+11,4406459911.0,97970,1.63E+12,7803986163.0,2014,7723351,80635,2012257,5791729,2438698,0,2579612,0,5650816,3963568,497788,1150711,38749,0,38749,,,,,,,,,,,,,,,,750000,0,54281,0.0,2879214,1057190,4740685,6921164,0.0,0,726263,12388112,0,943000,96025,3332467,0,474225,19141,278626,0.0,2593973,57941,0.0,0.0,118183,12857,2022474,53411,1835602,157217,321417,71555,12388112,3520,48963,47945,135526,67430,181599,1118589,1716726,0,103839,179111,602408,1183915,261244,5650816,537,-403,6641,61610,66542,83754,1035650,925733,0,82364,114066,379624,1062346,145104,3963568,,,
40,BRITAM GENERAL INSURANCE,55010,1.76E+12,4681181144.0,64230,2.33E+12,4999993045.0,2014,5001066,0,755144,4245922,1368240,0,1852042,0,3762120,2263486,409907,1133785,-45058,384671,339613,,,,,,,,,,,,,,,,700000,0,0,0.0,1086744,251553,2038297,2982603,0.0,0,262611,5283511,0,0,134867,2029875,0,0,486592,0,0.0,201267,18705,0.0,0.0,0,0,735513,147416,908562,150607,124210,345898,5283511,0,33000,45374,63350,9252,45178,648334,795845,99080,420299,136352,188533,992735,284788,3762120,0,20145,8877,67600,-1182,11744,690516,425367,0,28660,64164,39900,657720,249977,2263486,,,
41,CANNON ASSURANCE LTD,8211,39146127762,468266962.0,29049,1.32E+11,1215392885.0,2014,1181405,33988,340327,875066,318147,0,380832,0,812381,475143,87720,319707,-70189,144953,74764,,,,,,,,,,,,,,,,300000,0,274154,0.0,148997,0,723150,1347607,0.0,0,243145,2313903,87500,260000,15061,379657,0,30000,35289,0,0.0,487099,251842,0.0,0.0,6753,53021,76364,32335,318411,180564,25615,74390,2313903,0,17721,10904,22143,8512,18448,234836,328784,3865,17509,36006,101721,0,11932,812381,0,23232,877,-3247,-2076,-1956,243100,26202,87765,25757,10681,55653,0,9154,475143,,,
42,CIC GENERAL INSURANCE LTD,47580,5.72E+12,2695620324.0,136372,1.85E+13,9552594000.0,2014,9507349,45246,819662,8732933,3699941,0,4051656,0,8381218,5805617,645669,1804800,125132,719644,844776,,,,,,,,,,,,,,,,1700000,0,-13128,0.0,2075499,25321,3787692,6660974,0.0,0,156512,10605178,200000,1320000,366076,1196066,413691,0,0,63385,0.0,279779,17667,0.0,0.0,344060,0,2486306,322324,2142328,966286,45668,441542,10605178,0,56869,89258,219425,80690,65019,1722130,2362981,0,167272,376554,192145,2965208,83667,8381218,0,29009,19331,81531,64896,22008,1258277,1176854,0,62379,91690,43898,2907105,48639,5805617,,,
43,COPORATE INSURANCE COMPANY,3340,41904547493,162904922.0,9990,95906623919,320337295.0,2014,330452,35245,59872,305825,120291,0,155536,0,270580,76843,23941,116290,53506,151532,205038,,,,,,,,,,,,,,,,300000,0,0,0.0,505560,0,805560,341993,0.0,0,132096,1279649,0,675000,4797,104400,1237,0,0,0,0.0,3779,0,0.0,0.0,2000,0,213046,11789,226017,0,24128,13456,1279649,0,13572,568,24819,9180,48196,70509,30473,16080,10884,29171,17761,0,-633,270580,1617,9450,18,-9663,-553,569,47741,10845,3949,10006,-8537,2866,0,8535,76843,,,
44,DIRECTLINE ASSURANCE,22095,,492619050.0,168231,,2375183793.0,2014,2375184,0,49731,2325453,551559,0,660403,0,2216609,1338000,219219,739337,-79947,0,-79947,,,,,,,,,,,,,,,,300000,0,16536,0.0,408992,0,725528,3538601,0.0,0,55476,4319606,0,294000,88268,915977,0,0,0,388929,0.0,221997,0,0.0,0.0,0,0,1484752,629864,0,0,173063,122755,4319606,0,0,0,0,0,0,30413,9217,2176978,0,0,0,0,0,2216609,0,0,0,0,0,0,18726,8012,1311262,0,0,0,0,0,1338000,,,
45,FIDELITY SHIELD INSURANCE COMPANY LTD,6461,88694908500,459300009.0,15264,1.88E+11,1493169883.0,2014,1476526,16639,381560,1111605,353545,0,422930,0,1042219,554695,81081,304635,101808,0,101808,,,,,,,,,,,,,,,,450000,0,80697,0.0,492459,45000,1068156,1084905,0.0,16616,230679,2400357,245589,795411,28699,195992,0,0,0,0,0.0,122079,0,0.0,0.0,9815,12875,332465,43470,519820,0,54236,39907,2400357,2,7200,19068,45870,5447,17357,299392,430048,15128,10247,21107,168283,0,3070,1042219,0,3105,3107,34814,7167,18080,174061,220369,11983,4083,17995,59420,0,512,554695,,,
46,FIRST ASSURANCE COMPANY LTD,3185,32340667784,742967260.0,9810,99071897715,1095971844.0,2014,3393489,61801,1207366,2247925,816979,0,1006451,0,2058453,1479612,87720,423394,67728,0,67728,,,,,,,,,,,,,,,,450000,0,132308,0.0,1156101,0,1738409,2329373,0.0,0,550177,4617959,180000,1435000,22261,417878,0,52929,76792,0,0.0,62011,0,0.0,0.0,25099,0,1434789,45107,700559,6882,129144,29506,4617959,0,29606,35583,108938,43675,39200,532469,660964,0,49544,59873,175048,314460,9094,2058453,0,34460,23006,50039,-5801,24071,388375,368250,0,8859,48188,113353,413687,13125,1479612,,,
47,GA LIFE ASSURANCE LIMITED,19103,6.46E+11,1204072308.0,41688,9.76E+11,3816784260.0,2014,3767837,48947,1779560,2037225,728519,0,888141,0,1877603,1230464,-43764,486215,204688,399174,603861,,,,,,,,,,,,,,,,450000,0,829766,0.0,890806,174251,2344823,3667534,0.0,0,1081006,7093363,1170000,1273290,33492,777845,0,308827,309350,0,0.0,256324,284921,0.0,0.0,292640,0,1087507,12218,779361,221555,40154,245877,7093363,1142,41875,45123,102103,41033,123186,255498,303551,54262,38482,218938,340367,188153,123891,1877603,324,17972,10645,54785,28268,60223,165673,266824,0,6922,144040,317633,154483,2673,1230464,,,
48,GATEWAY INSURANCE,43928,23188384257,414994084.0,57482,46491108073,729325890.0,2014,706228,23098,154975,574351,144034,0,170666,0,547719,252505,27190,339468,-71444,96894,25450,,,,,,,,,,,,,,,,313225,135,397465,0.0,299702,0,1010527,1072855,0.0,2624,164972,2250978,350000,1034000,24918,234500,0,0,15000,0,0.0,25755,84817,0.0,0.0,7650,0,124984,69231,207233,20487,46936,5468,2250978,0,1183,-426,446,11774,175,209148,78184,136570,1947,1584,12665,91767,2701,547719,0,108,831,907,2556,844,54074,94861,46753,-488,1863,927,48690,580,252505,,,
49,GEMINIA INSURANCE COMPANY LTD,5306,63673893055,496032337.0,16532,2.07E+11,1507039979.0,2014,1469191,37849,497454,1009586,414501,0,469964,0,954123,453030,49889,283342,167862,177299,345161,,,,,,,,,,,,,,,,300000,0,326992,0.0,552169,177938,1357099,1450177,0.0,969,258202,3066447,19762,721000,33615,459000,0,0,24300,0,0.0,192691,5826,0.0,0.0,15342,0,1057325,54468,182734,38478,260482,1423,3066447,0,13315,24518,35677,11071,72087,198476,335878,0,18243,53391,185780,0,5687,954123,0,-5269,8208,37933,-1426,18782,80656,192592,0,7216,41884,70728,974,753,453030,,,
50,HERITAGE INSURANCE COMPANY KENYA LTD,12861,2.59E+11,1723191818.0,33771,4.07E+11,4026551329.0,2014,4017815,8736,1711321,2315231,816445,0,1044662,0,2087014,831500,-25022,1079262,201274,513529,714802,,,,,,,,,,,,,,,,500000,0,0,0.0,1569588,0,2069588,2115387,0.0,0,863134,5048110,0,120000,112037,1263920,0,88369,263375,0,0.0,104018,0,0.0,0.0,80845,346681,1119423,252446,1115759,59850,85691,35697,5048110,-8193,22665,139653,63679,54885,49598,470890,369652,24995,316500,82591,223699,250566,25833,2087014,-66,1719,47719,9212,1855,16776,229931,165307,-5461,77987,17612,73365,169219,26325,831500,,,
51,ICEA LION GENERAL INSURANCE COMPANY LTD,18569,6.56E+11,1562384648.0,84022,4.30E+12,5254134901.0,2014,5176407,77728,2149130,3105005,1218174,0,1234991,0,3088188,1601538,314065,872074,300512,0,300512,,,,,,,,,,,,,,,,600000,0,451313,0.0,2233774,200000,3485087,3959945,0.0,479042,799503,8723577,0,2355000,179129,2955330,0,50147,282990,0,0.0,902456,7378,0.0,0.0,38994,0,250433,24273,1123467,13714,273153,267113,8723577,9091,24974,93431,193170,23178,148098,938137,878418,0,149669,164663,311066,147226,7066,3088188,316,37145,22916,99302,27229,25472,611408,469903,0,65269,73924,77068,97903,-6318,1601538,,,
52,INTRA-AFRICA INSURANCE COMPANY LTD,10452,73775411718,371862414.0,19786,1.40E+11,878734602.0,2014,874266,4469,168081,710654,286368,0,294634,0,702388,467269,41276,224514,-30672,18916,-11756,,,,,,,,,,,,,,,,300000,0,291872,0.0,137608,7500,736980,746059,0.0,0,30085,1513125,120800,270000,19087,230200,0,0,0,0,0.0,73047,0,0.0,0.0,9022,12733,197302,28762,433132,89002,24908,5130,1513125,0,15805,15839,34485,4550,80139,175365,170377,227,10283,41056,116215,0,38047,702388,0,9226,6758,34664,7534,25416,135693,131732,0,24042,33065,48480,0,10659,467269,,,
53,INVESCO ASSURANCE COMPANY LTD,46757,4992708473,514846102.0,317884,11037080318,2121097423.0,2014,2121097,0,49237,2071861,371525,0,398591,0,2044794,853637,201214,1018143,-28200,0,-28200,,,,,,,,,,,,,,,,1680000,0,1680,0.0,-1307019,0,374662,2646003,0.0,0,87567,3108232,78356,1178480,69546,182000,0,0,0,0,0.0,3753,0,0.0,0.0,0,0,245969,48756,282210,554138,0,465024,3108232,0,834,-1125,186,-4,1800,210407,139548,1688906,1921,207,1921,0,193,2044794,0,28,4369,-5178,-5,-1883,42442,45317,765463,111,-371,3117,0,228,853637,,,
54,JUBILEE INSURANCE COMPANY,14023,3.51E+11,2769155234.0,37944,1.14E+12,8221567000.0,2014,9233271,880568,2815210,7298629,2582435,0,2706218,0,7174846,4740566,527610,1145079,761591,971327,1732918,,,,,,,,,,,,,,,,2000000,0,821503,0.0,2635029,0,5456532,5459191,0.0,0,1478214,12393937,0,0,43965,2513031,0,1528928,137570,0,0.0,2599458,567415,0.0,0.0,16045,0,1074302,285106,2756342,517580,86655,267538,12393937,37417,88623,51091,348911,68918,181219,1611715,501263,0,329201,102339,160531,3616137,77480,7174846,0,33439,18005,57857,2528,49740,1195031,198026,0,490154,140391,67902,2410281,77211,4740566,,,
55,KENINDIA ASSURANCE COMPANY LTD,12611,2.13E+11,674868707.0,27881,7.69E+11,2645952563.0,2014,2606200,39752,1093833,1552120,703121,0,627509,0,1627732,1451505,121727,584711,-530211,257011,-273201,,,,,,,,,,,,,,,,400000,1198,47712,0.0,895324,236119,1580353,2280443,0.0,0,1969287,5830082,588712,1314880,68161,851492,0,81905,0,0,0.0,84529,122779,0.0,0.0,1169,0,647975,55865,495363,0,1515738,1515,5830082,0,12839,31486,102059,21967,181480,273743,378189,4023,17667,131722,394951,71400,6206,1627732,0,38060,19760,67112,5947,51260,198071,256673,0,82837,147005,515041,76192,-6452,1451505,,,
56,KENYA ORIENT INSURANCE COMPANY,45715,46485208210,994086424.0,80951,1.02E+11,1939666187.0,2014,1926115,13551,239559,1700107,702602,0,854820,0,1547889,742846,54695,558149,192200,45561,237761,,,,,,,,,,,,,,,,810721,0,390712,0.0,71569,50000,1323002,1091622,0.0,4177,328706,2747508,82491,413302,53607,174580,0,26685,5247,0,0.0,4395,1058431,0.0,0.0,0,0,116725,101969,358898,128809,72709,149660,2747508,0,8364,12335,23642,15166,16500,698602,650824,14024,8627,30035,52516,0,17253,1547889,0,990,1496,3459,5153,5440,459419,248009,0,771,9717,9227,0,-836,742846,,,
57,MADISON INSURANCE COMPANY LTD,20425,61254213445,833866673.0,38199,98113461350,1518721617.0,2014,1445764,72958,365191,1153530,257314,0,480218,0,930626,558301,83381,398628,-109684,122438,12754,,,,,,,,,,,,,,,,300000,0,0,0.0,415557,0,715557,755376,0.0,0,97750,1568683,0,192000,52492,110403,0,0,0,0,0.0,0,317169,0.0,0.0,0,0,253940,14786,429163,102628,24780,71323,1568683,0,9776,2338,5856,62547,3978,205012,347812,0,18184,15766,20643,157650,81064,930626,0,4419,2816,19112,26503,715,175949,97177,0,17883,7102,14710,159117,32798,558301,,,
58,MAYFAIR INSURANCE COMPANY LTD,7890,1.64E+11,605384979.0,12409,7.93E+11,1221290695.0,2014,1713163,41114,849196,905080,385324,0,360641,0,929764,469175,12840,259559,188190,0,188190,,,,,,,,,,,,,,,,350000,0,326374,0.0,513214,0,1189588,1488211,0.0,0,468784,3146583,178571,389357,77462,334893,0,263033,112164,0,0.0,266971,426075,0.0,0.0,15449,0,676560,24324,234610,0,145224,1891,3146583,8,24513,15345,19583,10795,65345,212116,244500,0,7082,33588,280582,0,16306,929764,0,18035,7113,23158,702,22339,124990,182945,0,3042,12614,68165,0,6073,469175,,,
59,OCCIDENTAL INSURANCE COMPANY LTD,5544,91646529531,470067690.0,15892,3.00E+11,1798046114.0,2014,1828275,14248,616387,1226136,460287,0,510132,0,1176292,752628,111839,210299,101527,210384,311911,,,,,,,,,,,,,,,,346500,0,18214,0.0,487724,45045,897483,1235472,0.0,0,289074,2422028,0,440000,27175,640758,0,0,18574,0,0.0,128307,100825,0.0,0.0,0,0,394707,76573,531144,46107,17858,0,2422028,0,14095,35820,32112,1559,81163,257756,363187,0,14434,60248,293838,0,22080,1176292,0,12809,30196,28331,1253,34751,182230,243699,-3722,5872,31822,182327,0,3059,752628,,,
60,PACIS INSURANCE COMPANY LTD,6901,35338064184,376621197.0,23618,1.76E+11,984557531.0,2014,984558,0,187207,797350,271966,0,337253,0,732063,259292,83986,328250,60535,59367,119902,,,,,,,,,,,,,,,,300000,4043,0,0.0,472984,-45,776982,742354,0.0,54874,85603,1659813,88060,672000,60436,151570,0,0,0,0,0.0,3979,0,0.0,0.0,0,0,68215,25254,450247,0,74191,65861,1659813,0,3405,11961,16212,10796,1534,269123,282112,0,25076,23962,61388,24775,1719,732063,0,2378,387,4969,3148,76,169517,56261,0,1619,1028,5085,14874,-48,259292,,,
61,PHOENIX OF EAST AFRICA ASSURANCE COMPANY,2496,40096642389,250709361.0,4220,75531180789,457487364.0,2014,420591,36897,254978,202510,109332,0,106246,0,205596,171924,-42,213356,-179641,0,-179641,,,,,,,,,,,,,,,,300000,0,219244,0.0,1122005,0,1641250,238300,0.0,0,168893,2048443,0,0,16569,138500,0,143807,0,0,0.0,362374,0,0.0,0.0,7742,0,955009,28966,131937,2486,240344,20709,2048443,4523,2939,5405,12794,11278,13619,62687,35516,0,8657,15996,28297,0,3884,205596,378,4815,2859,3466,1082,5213,64079,40367,0,5012,7985,37254,0,-586,171924,,,
62,REAL INSURANCE COMPANY,23757,3.27E+11,1521357971.0,44564,7.25E+11,3222456444.0,2014,3187383,35073,1186087,2036369,767065,0,912027,0,1891407,1117723,127528,704790,-58634,0,-58634,,,,,,,,,,,,,,,,550000,0,0,0.0,34916,0,584916,1934998,0.0,581,647965,3168460,0,0,20350,254561,0,215588,35000,0,0.0,421622,0,0.0,0.0,0,0,1065023,147029,826313,45500,76806,60667,3168460,0,25742,32143,59439,18173,40573,544470,681233,0,83927,44209,80286,279596,1616,1891407,0,21669,5512,13201,3618,10221,394450,353559,0,38492,30711,38559,207058,672,1117723,,,
63,RESOLUTION INSURANCE COMPANY,766,736695690,,1554,2526307207,,2014,2526882,0,1509347,1017535,442844,0,478487,0,981892,640297,-70791,603806,-191420,53416,-138004,,,,,,,,,,,,,,,,330000,270000,4496,0.0,-54908,0,549588,1791549,0.0,0,156795,2497932,0,0,121729,145859,0,0,0,0,0.0,0,0,0.0,0.0,13624,0,413100,493695,1075371,36611,48376,149567,2497932,0,0,0,0,0,0,0,0,0,13014,0,22978,945900,0,981892,0,0,0,0,0,0,0,0,0,0,0,0,640297,0,640297,,,
64,SAHAM INSURANCE COMPANY LTD,1079,53446854183,98365347.0,2010,59239285747,246355524.0,2014,1040344,0,650457,389887,103263,0,145273,0,347877,150289,-9054,250746,-44104,65458,21354,,,,,,,,,,,,,,,,300000,0,2746,0.0,140189,9000,451935,258189,0.0,0,120726,830850,0,0,16837,246356,0,0,88402,0,0.0,43616,0,0.0,0.0,3793,0,312846,52539,45782,0,20678,0,830850,0,10450,3404,6232,2242,1301,82402,82706,-7337,1574,8808,25876,21973,108245,347877,0,895,9307,2457,2261,-38,47805,20137,4275,-1304,3537,8393,16195,36369,150289,,,
65,TAKAFUL INSURANCE OF AFRICA LTD,8042,26525312764,524308091.0,8947,49563278639,573334688.0,2014,677819,0,56096,621723,211265,0,290460,0,542528,281032,61056,265722,-65282,44795,-20487,,,,,,,,,,,,,,,,450203,30000,0,0.0,-142426,146400,484177,495094,0.0,0,141322,1120594,0,0,28946,31969,55000,0,0,0,0.0,0,0,0.0,0.0,0,0,344107,111592,334067,0,158819,56093,1120594,0,-15966,10391,37607,1809,-1594,-112,393486,-234,-21030,91792,41513,0,4866,542528,0,5089,-4206,9241,2701,1183,76280,142809,0,1766,18916,10596,0,16655,281032,,,
66,TAUSI ASSURANCE COMPANY LTD,8582,55514632629,203816764.0,16108,1.64E+11,833684915.0,2014,803499,8556,288035,524020,222131,0,192554,0,553597,287965,57263,172861,35509,0,35509,,,,,,,,,,,,,,,,502244,0,114158,0.0,262268,1731,880401,716894,0.0,38219,62410,1697924,220945,0,22139,583346,36126,0,0,0,0.0,157485,7116,0.0,0.0,8819,90723,333120,44801,57416,43691,90442,1756,1697924,0,4652,19751,22259,6797,71956,130214,80852,3414,8179,57283,129971,6917,11353,553597,0,4617,14584,5729,10744,34612,56868,45618,0,83,35405,74139,5488,79,287965,,,
67,THE KENYAN ALLIANCE INSURANCE COMPANY LTD,10896,45521955066,506844370.0,30375,1.51E+11,1304137202.0,2014,1282324,21813,157232,1146905,520535,0,532895,0,1134545,572498,110973,478426,-27351,203086,175734,,,,,,,,,,,,,,,,300000,0,72384,0.0,1047171,20281,1439836,1390069,0.0,49978,183410,3063293,93013,1389849,48795,150000,0,0,25650,0,0.0,44259,0,0.0,0.0,16739,0,488072,44419,546599,69436,81089,65373,3063293,0,-6845,31598,5758,4644,16249,543016,390119,0,67019,33912,48203,0,871,1134545,0,3160,3547,-26511,-17100,-849,624040,-77689,0,7644,18179,39368,0,-1291,572498,,,
68,THE MONARCH INSURANCE COMPANY LTD,32545,23801256452,418028427.0,45596,64021370696,607228249.0,2014,586256,20972,53351,553877,212555,0,258531,0,507902,138330,28627,241389,99555,0,99555,,,,,,,,,,,,,,,,316476,0,0,0.0,53074,50000,419550,411301,0.0,0,55882,886734,0,275775,3110,101343,0,0,0,0,0.0,6804,59,0.0,0.0,0,0,43303,12521,296335,3980,104123,39380,886734,0,4812,1696,10456,5559,12816,224371,149914,0,26575,3667,31334,0,36703,507902,0,808,441,208,2175,445,86603,42870,0,979,742,2278,0,783,138330,,,
69,TRIDENT INSURANCE COMPANY LTD,17511,2.42E+12,468964982.0,37220,2.61E+12,1012870880.0,2014,987606,25265,333995,678875,236584,0,435452,0,480008,288292,-25526,170220,47022,0,47022,,,,,,,,,,,,,,,,500000,0,205130,0.0,1392751,25000,2122881,1609721,0.0,-5270,184633,3911965,231034,1345399,16584,289450,19562,0,27500,0,0.0,8048,7985,0.0,0.0,1251207,0,25000,12000,626122,40330,2225,9520,3911965,115,4643,6023,16578,1784,21318,133306,181444,1486,5784,8233,80716,0,18578,480008,0,3885,3632,7831,3247,7476,115403,113930,11,3479,4556,26020,0,-1177,288292,,,
70,UAP INSURANCE COMPANY,137973,5.64E+11,2360094595.0,182838,3.07E+12,7532999176.0,2014,7392124,140876,1527496,6005503,2429421,0,2371976,0,6062948,4100385,427124,1232280,303159,0,303159,,,,,,,,,,,,,,,,600000,0,2214103,0.0,5000603,1000000,8814706,4704132,0.0,0,1183369,14702207,2700,3450000,86048,1926009,0,0,468141,207761,0.0,3414252,54404,0.0,0.0,1479292,218149,248818,382229,1526091,634733,391636,211943,14702207,0,52514,92653,209193,79751,65285,1072996,1070037,0,69031,146219,249031,2926744,29495,6062948,0,1626,1956,12020,48277,27266,832806,775691,0,39231,78774,202267,2079122,1350,4100385,,,
71,XPLICO INSURANCE COMPANY LTD,301264,74779447325,1155383494.0,338614,94555013599,1461251045.0,2014,1386545,20572,159290,1247827,300538,0,401991,0,1146374,291384,116797,792522,-54329,0,-54329,,,,,,,,,,,,,,,,407500,0,19670,0.0,55615,0,482785,615106,0.0,0,163947,1261838,77300,0,123548,90000,103000,25251,0,0,0.0,0,0,0.0,0.0,983,0,334281,28229,263260,131887,74702,9397,1261838,-21271,7007,948,5780,14426,27508,675990,301780,0,38820,10476,54216,-1126,31820,1146374,2689,1320,9290,18327,199,8642,133801,66139,0,10050,20427,18985,0,1514,291384,,,
